run_order,run_id,method,task,run_num,seed
106,20260519_gsd_30_I,gsd,I,30,1d9b2c16497b3e9f
107,20260519_gsd_24_C,gsd,C,24,1d9b2c16497b3e9f
108,20260519_spec-kit_8_A,spec-kit,A,8,1d9b2c16497b3e9f
109,20260519_bare_23_J,bare,J,23,1d9b2c16497b3e9f
110,20260519_bare_7_C,bare,C,7,1d9b2c16497b3e9f
111,20260519_acps_30_F,acps,F,30,1d9b2c16497b3e9f
112,20260519_acps_22_C,acps,C,22,1d9b2c16497b3e9f
113,20260519_gsd_9_D,gsd,D,9,1d9b2c16497b3e9f
114,20260519_gsd_5_B,gsd,B,5,1d9b2c16497b3e9f
115,20260519_spec-kit_2_E,spec-kit,E,2,1d9b2c16497b3e9f
116,20260519_bmad_29_G,bmad,G,29,1d9b2c16497b3e9f
117,20260519_bigpowers_27_G,bigpowers,G,27,1d9b2c16497b3e9f
118,20260519_bare_9_A,bare,A,9,1d9b2c16497b3e9f
119,20260519_bigpowers_27_J,bigpowers,J,27,1d9b2c16497b3e9f
120,20260519_bigpowers_26_C,bigpowers,C,26,1d9b2c16497b3e9f
121,20260519_spec-kit_1_C,spec-kit,C,1,1d9b2c16497b3e9f
122,20260519_bare_1_B,bare,B,1,1d9b2c16497b3e9f
123,20260519_superpowers_21_I,superpowers,I,21,1d9b2c16497b3e9f
124,20260519_spec-kit_17_D,spec-kit,D,17,1d9b2c16497b3e9f
125,20260519_bare_8_C,bare,C,8,1d9b2c16497b3e9f
126,20260519_superpowers_16_J,superpowers,J,16,1d9b2c16497b3e9f
127,20260519_superpowers_20_H,superpowers,H,20,1d9b2c16497b3e9f
128,20260519_spec-kit_18_B,spec-kit,B,18,1d9b2c16497b3e9f
129,20260519_gsd_7_E,gsd,E,7,1d9b2c16497b3e9f
130,20260519_superpowers_2_J,superpowers,J,2,1d9b2c16497b3e9f
131,20260519_bmad_13_B,bmad,B,13,1d9b2c16497b3e9f
132,20260519_spec-kit_29_C,spec-kit,C,29,1d9b2c16497b3e9f
133,20260519_bmad_27_I,bmad,I,27,1d9b2c16497b3e9f
134,20260519_bmad_25_A,bmad,A,25,1d9b2c16497b3e9f
135,20260519_gsd_22_C,gsd,C,22,1d9b2c16497b3e9f
136,20260519_bmad_26_B,bmad,B,26,1d9b2c16497b3e9f
137,20260519_bigpowers_21_C,bigpowers,C,21,1d9b2c16497b3e9f
138,20260519_acps_10_E,acps,E,10,1d9b2c16497b3e9f
139,20260519_bigpowers_29_C,bigpowers,C,29,1d9b2c16497b3e9f
140,20260519_superpowers_29_D,superpowers,D,29,1d9b2c16497b3e9f
141,20260519_bmad_6_B,bmad,B,6,1d9b2c16497b3e9f
142,20260519_spec-kit_4_D,spec-kit,D,4,1d9b2c16497b3e9f
143,20260519_bmad_25_B,bmad,B,25,1d9b2c16497b3e9f
144,20260519_superpowers_2_D,superpowers,D,2,1d9b2c16497b3e9f
145,20260519_superpowers_8_D,superpowers,D,8,1d9b2c16497b3e9f
146,20260519_superpowers_20_A,superpowers,A,20,1d9b2c16497b3e9f
147,20260519_gsd_8_E,gsd,E,8,1d9b2c16497b3e9f
148,20260519_superpowers_17_F,superpowers,F,17,1d9b2c16497b3e9f
149,20260519_spec-kit_21_D,spec-kit,D,21,1d9b2c16497b3e9f
150,20260519_spec-kit_24_B,spec-kit,B,24,1d9b2c16497b3e9f
151,20260519_bare_8_E,bare,E,8,1d9b2c16497b3e9f
152,20260519_gsd_17_D,gsd,D,17,1d9b2c16497b3e9f
153,20260519_spec-kit_3_B,spec-kit,B,3,1d9b2c16497b3e9f
154,20260519_superpowers_12_F,superpowers,F,12,1d9b2c16497b3e9f
155,20260519_gsd_16_D,gsd,D,16,1d9b2c16497b3e9f
156,20260519_bmad_29_B,bmad,B,29,1d9b2c16497b3e9f
157,20260519_bare_10_B,bare,B,10,1d9b2c16497b3e9f
158,20260519_gsd_25_B,gsd,B,25,1d9b2c16497b3e9f
159,20260519_spec-kit_25_F,spec-kit,F,25,1d9b2c16497b3e9f
160,20260519_superpowers_6_E,superpowers,E,6,1d9b2c16497b3e9f
161,20260519_spec-kit_13_H,spec-kit,H,13,1d9b2c16497b3e9f
162,20260519_acps_19_G,acps,G,19,1d9b2c16497b3e9f
163,20260519_bigpowers_28_H,bigpowers,H,28,1d9b2c16497b3e9f
164,20260519_superpowers_27_H,superpowers,H,27,1d9b2c16497b3e9f
165,20260519_bare_20_B,bare,B,20,1d9b2c16497b3e9f
166,20260519_spec-kit_13_D,spec-kit,D,13,1d9b2c16497b3e9f
167,20260519_bare_12_A,bare,A,12,1d9b2c16497b3e9f
168,20260519_spec-kit_8_H,spec-kit,H,8,1d9b2c16497b3e9f
169,20260519_bmad_18_F,bmad,F,18,1d9b2c16497b3e9f
170,20260519_bare_2_H,bare,H,2,1d9b2c16497b3e9f
171,20260519_bare_24_F,bare,F,24,1d9b2c16497b3e9f
172,20260519_superpowers_5_A,superpowers,A,5,1d9b2c16497b3e9f
173,20260519_bmad_24_J,bmad,J,24,1d9b2c16497b3e9f
174,20260519_bigpowers_13_F,bigpowers,F,13,1d9b2c16497b3e9f
175,20260519_superpowers_17_H,superpowers,H,17,1d9b2c16497b3e9f
176,20260519_bare_26_B,bare,B,26,1d9b2c16497b3e9f
177,20260519_bmad_13_J,bmad,J,13,1d9b2c16497b3e9f
178,20260519_acps_26_I,acps,I,26,1d9b2c16497b3e9f
179,20260519_acps_30_B,acps,B,30,1d9b2c16497b3e9f
180,20260519_spec-kit_9_A,spec-kit,A,9,1d9b2c16497b3e9f
181,20260519_superpowers_23_F,superpowers,F,23,1d9b2c16497b3e9f
182,20260519_acps_7_A,acps,A,7,1d9b2c16497b3e9f
183,20260519_spec-kit_22_B,spec-kit,B,22,1d9b2c16497b3e9f
184,20260519_bare_8_B,bare,B,8,1d9b2c16497b3e9f
185,20260519_bigpowers_10_I,bigpowers,I,10,1d9b2c16497b3e9f
186,20260519_acps_19_E,acps,E,19,1d9b2c16497b3e9f
187,20260519_spec-kit_3_G,spec-kit,G,3,1d9b2c16497b3e9f
188,20260519_superpowers_1_E,superpowers,E,1,1d9b2c16497b3e9f
189,20260519_bare_27_J,bare,J,27,1d9b2c16497b3e9f
190,20260519_bmad_11_A,bmad,A,11,1d9b2c16497b3e9f
191,20260519_spec-kit_9_G,spec-kit,G,9,1d9b2c16497b3e9f
192,20260519_gsd_12_B,gsd,B,12,1d9b2c16497b3e9f
193,20260519_bare_27_C,bare,C,27,1d9b2c16497b3e9f
194,20260519_bigpowers_3_H,bigpowers,H,3,1d9b2c16497b3e9f
195,20260519_bare_7_A,bare,A,7,1d9b2c16497b3e9f
196,20260519_superpowers_17_C,superpowers,C,17,1d9b2c16497b3e9f
197,20260519_bmad_30_J,bmad,J,30,1d9b2c16497b3e9f
198,20260519_acps_6_A,acps,A,6,1d9b2c16497b3e9f
199,20260519_spec-kit_26_B,spec-kit,B,26,1d9b2c16497b3e9f
200,20260519_bmad_25_I,bmad,I,25,1d9b2c16497b3e9f
201,20260519_bare_20_H,bare,H,20,1d9b2c16497b3e9f
202,20260519_bare_24_E,bare,E,24,1d9b2c16497b3e9f
203,20260519_spec-kit_12_B,spec-kit,B,12,1d9b2c16497b3e9f
204,20260519_bigpowers_18_H,bigpowers,H,18,1d9b2c16497b3e9f
205,20260519_bigpowers_13_G,bigpowers,G,13,1d9b2c16497b3e9f
206,20260519_spec-kit_4_G,spec-kit,G,4,1d9b2c16497b3e9f
207,20260519_bare_25_B,bare,B,25,1d9b2c16497b3e9f
208,20260519_acps_16_D,acps,D,16,1d9b2c16497b3e9f
209,20260519_spec-kit_5_H,spec-kit,H,5,1d9b2c16497b3e9f
210,20260519_spec-kit_7_C,spec-kit,C,7,1d9b2c16497b3e9f
211,20260519_superpowers_12_G,superpowers,G,12,1d9b2c16497b3e9f
212,20260519_superpowers_18_J,superpowers,J,18,1d9b2c16497b3e9f
213,20260519_spec-kit_30_J,spec-kit,J,30,1d9b2c16497b3e9f
214,20260519_bmad_15_J,bmad,J,15,1d9b2c16497b3e9f
215,20260519_gsd_18_B,gsd,B,18,1d9b2c16497b3e9f
216,20260519_acps_30_I,acps,I,30,1d9b2c16497b3e9f
217,20260519_spec-kit_22_A,spec-kit,A,22,1d9b2c16497b3e9f
218,20260519_acps_27_I,acps,I,27,1d9b2c16497b3e9f
219,20260519_spec-kit_17_A,spec-kit,A,17,1d9b2c16497b3e9f
220,20260519_spec-kit_12_E,spec-kit,E,12,1d9b2c16497b3e9f
221,20260519_acps_24_E,acps,E,24,1d9b2c16497b3e9f
222,20260519_bare_27_I,bare,I,27,1d9b2c16497b3e9f
223,20260519_gsd_2_H,gsd,H,2,1d9b2c16497b3e9f
224,20260519_superpowers_28_F,superpowers,F,28,1d9b2c16497b3e9f
225,20260519_superpowers_4_D,superpowers,D,4,1d9b2c16497b3e9f
226,20260519_superpowers_23_C,superpowers,C,23,1d9b2c16497b3e9f
227,20260519_bare_19_J,bare,J,19,1d9b2c16497b3e9f
228,20260519_acps_10_F,acps,F,10,1d9b2c16497b3e9f
229,20260519_bare_29_G,bare,G,29,1d9b2c16497b3e9f
230,20260519_superpowers_16_F,superpowers,F,16,1d9b2c16497b3e9f
231,20260519_bigpowers_24_E,bigpowers,E,24,1d9b2c16497b3e9f
232,20260519_bmad_7_H,bmad,H,7,1d9b2c16497b3e9f
233,20260519_bmad_29_F,bmad,F,29,1d9b2c16497b3e9f
234,20260519_spec-kit_1_E,spec-kit,E,1,1d9b2c16497b3e9f
235,20260519_spec-kit_30_E,spec-kit,E,30,1d9b2c16497b3e9f
236,20260519_spec-kit_30_F,spec-kit,F,30,1d9b2c16497b3e9f
237,20260519_acps_7_B,acps,B,7,1d9b2c16497b3e9f
238,20260519_acps_1_G,acps,G,1,1d9b2c16497b3e9f
239,20260519_acps_10_A,acps,A,10,1d9b2c16497b3e9f
240,20260519_bigpowers_11_E,bigpowers,E,11,1d9b2c16497b3e9f
241,20260519_bmad_21_B,bmad,B,21,1d9b2c16497b3e9f
242,20260519_bigpowers_17_F,bigpowers,F,17,1d9b2c16497b3e9f
243,20260519_spec-kit_27_D,spec-kit,D,27,1d9b2c16497b3e9f
244,20260519_bmad_20_E,bmad,E,20,1d9b2c16497b3e9f
245,20260519_bmad_5_D,bmad,D,5,1d9b2c16497b3e9f
246,20260519_spec-kit_30_D,spec-kit,D,30,1d9b2c16497b3e9f
247,20260519_superpowers_7_J,superpowers,J,7,1d9b2c16497b3e9f
248,20260519_superpowers_25_D,superpowers,D,25,1d9b2c16497b3e9f
249,20260519_bare_26_C,bare,C,26,1d9b2c16497b3e9f
250,20260519_gsd_30_E,gsd,E,30,1d9b2c16497b3e9f
251,20260519_acps_18_F,acps,F,18,1d9b2c16497b3e9f
252,20260519_superpowers_27_D,superpowers,D,27,1d9b2c16497b3e9f
253,20260519_gsd_20_I,gsd,I,20,1d9b2c16497b3e9f
254,20260519_bare_17_G,bare,G,17,1d9b2c16497b3e9f
255,20260519_gsd_9_H,gsd,H,9,1d9b2c16497b3e9f
256,20260519_gsd_15_C,gsd,C,15,1d9b2c16497b3e9f
257,20260519_bare_11_A,bare,A,11,1d9b2c16497b3e9f
258,20260519_bigpowers_15_I,bigpowers,I,15,1d9b2c16497b3e9f
259,20260519_bigpowers_20_J,bigpowers,J,20,1d9b2c16497b3e9f
260,20260519_bigpowers_13_H,bigpowers,H,13,1d9b2c16497b3e9f
261,20260519_superpowers_13_B,superpowers,B,13,1d9b2c16497b3e9f
262,20260519_bigpowers_24_H,bigpowers,H,24,1d9b2c16497b3e9f
263,20260519_bmad_11_C,bmad,C,11,1d9b2c16497b3e9f
264,20260519_bmad_11_D,bmad,D,11,1d9b2c16497b3e9f
265,20260519_gsd_21_D,gsd,D,21,1d9b2c16497b3e9f
266,20260519_superpowers_19_H,superpowers,H,19,1d9b2c16497b3e9f
267,20260519_gsd_28_H,gsd,H,28,1d9b2c16497b3e9f
268,20260519_bigpowers_5_J,bigpowers,J,5,1d9b2c16497b3e9f
269,20260519_spec-kit_15_I,spec-kit,I,15,1d9b2c16497b3e9f
270,20260519_superpowers_7_C,superpowers,C,7,1d9b2c16497b3e9f
271,20260519_spec-kit_26_G,spec-kit,G,26,1d9b2c16497b3e9f
272,20260519_acps_11_J,acps,J,11,1d9b2c16497b3e9f
273,20260519_bigpowers_23_H,bigpowers,H,23,1d9b2c16497b3e9f
274,20260519_bare_26_D,bare,D,26,1d9b2c16497b3e9f
275,20260519_superpowers_26_A,superpowers,A,26,1d9b2c16497b3e9f
276,20260519_bare_1_J,bare,J,1,1d9b2c16497b3e9f
277,20260519_bigpowers_26_A,bigpowers,A,26,1d9b2c16497b3e9f
278,20260519_bigpowers_1_F,bigpowers,F,1,1d9b2c16497b3e9f
279,20260519_acps_18_H,acps,H,18,1d9b2c16497b3e9f
280,20260519_gsd_18_H,gsd,H,18,1d9b2c16497b3e9f
281,20260519_spec-kit_27_I,spec-kit,I,27,1d9b2c16497b3e9f
282,20260519_bare_1_C,bare,C,1,1d9b2c16497b3e9f
283,20260519_superpowers_14_C,superpowers,C,14,1d9b2c16497b3e9f
284,20260519_acps_5_B,acps,B,5,1d9b2c16497b3e9f
285,20260519_bigpowers_12_J,bigpowers,J,12,1d9b2c16497b3e9f
286,20260519_bare_16_H,bare,H,16,1d9b2c16497b3e9f
287,20260519_acps_1_C,acps,C,1,1d9b2c16497b3e9f
288,20260519_bigpowers_5_D,bigpowers,D,5,1d9b2c16497b3e9f
289,20260519_spec-kit_6_B,spec-kit,B,6,1d9b2c16497b3e9f
290,20260519_bare_22_C,bare,C,22,1d9b2c16497b3e9f
291,20260519_gsd_5_F,gsd,F,5,1d9b2c16497b3e9f
292,20260519_bmad_10_G,bmad,G,10,1d9b2c16497b3e9f
293,20260519_bare_3_A,bare,A,3,1d9b2c16497b3e9f
294,20260519_spec-kit_12_C,spec-kit,C,12,1d9b2c16497b3e9f
295,20260519_bmad_15_A,bmad,A,15,1d9b2c16497b3e9f
296,20260519_bigpowers_30_J,bigpowers,J,30,1d9b2c16497b3e9f
297,20260519_acps_15_F,acps,F,15,1d9b2c16497b3e9f
298,20260519_acps_19_J,acps,J,19,1d9b2c16497b3e9f
299,20260519_acps_21_H,acps,H,21,1d9b2c16497b3e9f
300,20260519_superpowers_6_F,superpowers,F,6,1d9b2c16497b3e9f
301,20260519_gsd_12_I,gsd,I,12,1d9b2c16497b3e9f
302,20260519_bmad_8_A,bmad,A,8,1d9b2c16497b3e9f
303,20260519_acps_30_D,acps,D,30,1d9b2c16497b3e9f
304,20260519_bigpowers_12_B,bigpowers,B,12,1d9b2c16497b3e9f
305,20260519_bigpowers_14_J,bigpowers,J,14,1d9b2c16497b3e9f
306,20260519_bare_10_E,bare,E,10,1d9b2c16497b3e9f
307,20260519_bmad_3_C,bmad,C,3,1d9b2c16497b3e9f
308,20260519_gsd_7_A,gsd,A,7,1d9b2c16497b3e9f
309,20260519_gsd_22_F,gsd,F,22,1d9b2c16497b3e9f
310,20260519_bare_24_C,bare,C,24,1d9b2c16497b3e9f
311,20260519_bigpowers_28_E,bigpowers,E,28,1d9b2c16497b3e9f
312,20260519_bmad_16_C,bmad,C,16,1d9b2c16497b3e9f
313,20260519_acps_14_I,acps,I,14,1d9b2c16497b3e9f
314,20260519_superpowers_18_G,superpowers,G,18,1d9b2c16497b3e9f
315,20260519_bare_29_F,bare,F,29,1d9b2c16497b3e9f
316,20260519_bmad_3_D,bmad,D,3,1d9b2c16497b3e9f
317,20260519_bare_12_E,bare,E,12,1d9b2c16497b3e9f
318,20260519_acps_19_B,acps,B,19,1d9b2c16497b3e9f
319,20260519_bare_18_H,bare,H,18,1d9b2c16497b3e9f
320,20260519_bigpowers_27_D,bigpowers,D,27,1d9b2c16497b3e9f
321,20260519_bigpowers_20_H,bigpowers,H,20,1d9b2c16497b3e9f
322,20260519_bmad_30_C,bmad,C,30,1d9b2c16497b3e9f
323,20260519_bare_19_I,bare,I,19,1d9b2c16497b3e9f
324,20260519_bigpowers_1_D,bigpowers,D,1,1d9b2c16497b3e9f
325,20260519_bare_5_G,bare,G,5,1d9b2c16497b3e9f
326,20260519_bmad_15_F,bmad,F,15,1d9b2c16497b3e9f
327,20260519_acps_5_A,acps,A,5,1d9b2c16497b3e9f
328,20260519_superpowers_23_B,superpowers,B,23,1d9b2c16497b3e9f
329,20260519_bigpowers_19_D,bigpowers,D,19,1d9b2c16497b3e9f
330,20260519_superpowers_10_D,superpowers,D,10,1d9b2c16497b3e9f
331,20260519_superpowers_2_A,superpowers,A,2,1d9b2c16497b3e9f
332,20260519_bmad_23_J,bmad,J,23,1d9b2c16497b3e9f
333,20260519_bare_6_I,bare,I,6,1d9b2c16497b3e9f
334,20260519_spec-kit_13_E,spec-kit,E,13,1d9b2c16497b3e9f
335,20260519_superpowers_8_A,superpowers,A,8,1d9b2c16497b3e9f
336,20260519_acps_10_D,acps,D,10,1d9b2c16497b3e9f
337,20260519_gsd_6_G,gsd,G,6,1d9b2c16497b3e9f
338,20260519_spec-kit_25_I,spec-kit,I,25,1d9b2c16497b3e9f
339,20260519_gsd_26_H,gsd,H,26,1d9b2c16497b3e9f
340,20260519_superpowers_14_B,superpowers,B,14,1d9b2c16497b3e9f
341,20260519_bmad_22_I,bmad,I,22,1d9b2c16497b3e9f
342,20260519_bmad_5_G,bmad,G,5,1d9b2c16497b3e9f
343,20260519_spec-kit_10_J,spec-kit,J,10,1d9b2c16497b3e9f
344,20260519_bmad_17_F,bmad,F,17,1d9b2c16497b3e9f
345,20260519_superpowers_1_F,superpowers,F,1,1d9b2c16497b3e9f
346,20260519_bmad_13_E,bmad,E,13,1d9b2c16497b3e9f
347,20260519_superpowers_19_E,superpowers,E,19,1d9b2c16497b3e9f
348,20260519_bmad_2_F,bmad,F,2,1d9b2c16497b3e9f
349,20260519_superpowers_26_G,superpowers,G,26,1d9b2c16497b3e9f
350,20260519_acps_25_B,acps,B,25,1d9b2c16497b3e9f
351,20260519_bmad_21_F,bmad,F,21,1d9b2c16497b3e9f
352,20260519_bare_29_H,bare,H,29,1d9b2c16497b3e9f
353,20260519_bmad_14_A,bmad,A,14,1d9b2c16497b3e9f
354,20260519_spec-kit_2_B,spec-kit,B,2,1d9b2c16497b3e9f
355,20260519_superpowers_30_I,superpowers,I,30,1d9b2c16497b3e9f
356,20260519_bare_20_E,bare,E,20,1d9b2c16497b3e9f
357,20260519_bmad_6_A,bmad,A,6,1d9b2c16497b3e9f
358,20260519_gsd_2_B,gsd,B,2,1d9b2c16497b3e9f
359,20260519_bmad_12_G,bmad,G,12,1d9b2c16497b3e9f
360,20260519_gsd_11_F,gsd,F,11,1d9b2c16497b3e9f
361,20260519_gsd_1_C,gsd,C,1,1d9b2c16497b3e9f
362,20260519_bare_22_A,bare,A,22,1d9b2c16497b3e9f
363,20260519_acps_2_A,acps,A,2,1d9b2c16497b3e9f
364,20260519_gsd_11_J,gsd,J,11,1d9b2c16497b3e9f
365,20260519_bmad_4_D,bmad,D,4,1d9b2c16497b3e9f
366,20260519_bmad_30_D,bmad,D,30,1d9b2c16497b3e9f
367,20260519_gsd_5_A,gsd,A,5,1d9b2c16497b3e9f
368,20260519_bigpowers_30_F,bigpowers,F,30,1d9b2c16497b3e9f
369,20260519_bigpowers_18_D,bigpowers,D,18,1d9b2c16497b3e9f
370,20260519_bare_4_J,bare,J,4,1d9b2c16497b3e9f
371,20260519_bigpowers_11_F,bigpowers,F,11,1d9b2c16497b3e9f
372,20260519_spec-kit_28_E,spec-kit,E,28,1d9b2c16497b3e9f
373,20260519_gsd_23_D,gsd,D,23,1d9b2c16497b3e9f
374,20260519_acps_22_J,acps,J,22,1d9b2c16497b3e9f
375,20260519_acps_11_H,acps,H,11,1d9b2c16497b3e9f
376,20260519_bmad_1_D,bmad,D,1,1d9b2c16497b3e9f
377,20260519_superpowers_16_B,superpowers,B,16,1d9b2c16497b3e9f
378,20260519_bmad_28_E,bmad,E,28,1d9b2c16497b3e9f
